2026-06-21 01:08:36,338 | INFO | repair.integrity | integrity: 0 files, 0 deduped, 0 quarantined
2026-06-21 01:25:56,869 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:25:57,096 | INFO | load_osm | Model 'llama-3.1-8b-instruct' unloaded and VRAM freed.
2026-06-21 01:25:57,614 | INFO | scope.run | scope llama-3.1-8b-instruct complete
2026-06-21 01:25:58,146 | INFO | load_osm | Loading model: qwen2.5-7b-instruct (Qwen/Qwen2.5-7B-Instruct) ...
2026-06-21 01:26:01,724 | INFO | load_osm |   Model qwen2.5-7b-instruct                 | attention impl: flash_attention_2
2026-06-21 01:26:01,724 | INFO | load_osm | Model 'qwen2.5-7b-instruct' loaded successfully.
2026-06-21 01:26:03,297 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:26:03,301 | INFO | utils_attention | Creating nnsight LanguageModel wrapper for 'Qwen/Qwen2.5-7B-Instruct' (cached).
2026-06-21 01:26:07,785 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:26:08,430 | INFO | scope.run | scope qwen2.5-7b-instruct: localised layers=[0, 1, 2, 3, 4, 5, 6] pctile=75.0 util=0.000 decod 0.4133->0.4191 (drop -0.01)
2026-06-21 01:26:37,761 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:27:03,574 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:27:18,536 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:27:21,687 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:27:37,816 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:29:18,132 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:33:06,051 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:33:17,077 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:33:22,080 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:35:44,064 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:35:52,798 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:36:01,746 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:36:17,953 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:36:27,012 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 3/3 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:36:42,854 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:36:46,120 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:36:49,001 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:36:51,873 | INFO | osm_behavioral | OSM qwen2.5-7b-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:36:52,155 | INFO | load_osm | Model 'qwen2.5-7b-instruct' unloaded and VRAM freed.
2026-06-21 01:36:52,340 | INFO | scope.run | scope qwen2.5-7b-instruct complete
2026-06-21 01:36:52,966 | INFO | load_osm | Loading model: gemma-2-2b-it (google/gemma-2-2b-it) ...
2026-06-21 01:36:55,571 | INFO | load_osm |   Model gemma-2-2b-it                       | attention impl: flash_attention_2
2026-06-21 01:36:55,571 | INFO | load_osm | Model 'gemma-2-2b-it' loaded successfully.
2026-06-21 01:36:58,493 | INFO | osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:36:58,498 | INFO | utils_attention | Converting HF model 'google/gemma-2-2b-it' to HookedTransformer for CDVA patching ...
2026-06-21 01:37:16,853 | INFO | utils_attention | HookedTransformer for 'google/gemma-2-2b-it' cached (device=cuda:0).
2026-06-21 01:37:30,560 | INFO | osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:37:33,114 | INFO | scope.run | scope gemma-2-2b-it: localised layers=[0, 1, 2, 3, 4, 5, 6] pctile=75.0 util=0.000 decod 0.5748->0.5559 (drop 0.03)
2026-06-21 01:39:45,479 | INFO | osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:40:15,892 | INFO | osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:40:35,119 | INFO | osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:40:41,384 | INFO | osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:41:00,251 | INFO | osm_behavioral | OSM gemma-2-2b-it: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:41:56,769 | INFO | repair.integrity | integrity: 0 files, 0 deduped, 0 quarantined
2026-06-21 01:41:57,321 | INFO | load_osm | Loading model: llama-3.1-8b-instruct (meta-llama/Llama-3.1-8B-Instruct) ...
2026-06-21 01:42:16,344 | INFO | load_osm |   Model llama-3.1-8b-instruct               | attention impl: flash_attention_2
2026-06-21 01:42:16,344 | INFO | load_osm | Model 'llama-3.1-8b-instruct' loaded successfully.
2026-06-21 01:43:03,970 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 104/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:43:47,413 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 200/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:43:47,420 | INFO | utils_attention | Converting HF model 'meta-llama/Llama-3.1-8B-Instruct' to HookedTransformer for CDVA patching ...
2026-06-21 01:44:24,251 | INFO | utils_attention | HookedTransformer for 'meta-llama/Llama-3.1-8B-Instruct' cached (device=cuda:0).
2026-06-21 01:55:13,028 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 104/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:55:52,242 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 200/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 01:56:58,150 | INFO | repair.checkpoint | checkpoint push: ok
2026-06-21 01:59:22,348 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 104/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:00:01,492 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 200/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:03:31,520 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 104/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:04:10,595 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 200/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:06:00,231 | INFO | scope.run | scope llama-3.1-8b-instruct: localised layers=[0, 1, 2, 3, 4, 5, 6, 7] pctile=75.0 util=-0.020 decod 0.2452->0.2418 (drop 0.01)
2026-06-21 02:06:01,576 | INFO | repair.checkpoint | checkpoint push: ok
2026-06-21 02:11:59,517 | INFO | repair.checkpoint | checkpoint push: ok
2026-06-21 02:13:39,658 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 104/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:14:19,076 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 200/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:22:43,283 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 104/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:23:28,009 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 200/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:27:00,813 | INFO | repair.checkpoint | checkpoint push: ok
2026-06-21 02:31:20,004 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 104/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:32:04,223 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 200/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:39:30,210 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 104/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:40:13,273 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 200/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:42:02,722 | INFO | repair.checkpoint | checkpoint push: ok
2026-06-21 02:48:20,175 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 104/200 prompts done (sample_index=0, batch_size=8).
2026-06-21 02:48:55,800 | INFO | osm_behavioral | OSM llama-3.1-8b-instruct: 200/200 prompts done (sample_index=0, batch_size=8).
